LectureHall;RoomNumber;BuildingID
HB 1-7;1-7;42
HB 1-8;1-8;42
HB 1-9;1-9;42
HB 1-10;1-10;42
HB 1-11;1-11;42
HB 1-12;1-12;42
HB 1-13;1-13;42
HB 1-14;1-14;42
HB 1-15;1-15;42
HB 2-1;2-1;42
HB 2-2;2-2;42
HB 2-3;2-3;42
HB 2-4;2-4;42
HB 2-5;2-5;42
HB 2-6;2-6;42
HB 2-7;2-7;42
HB 2-8;2-8;42
HB 2-9;2-9;42
HB 2-10;2-10;42
HB 2-11;2-11;42
HB 2-12;2-12;42
HB 2-13;2-13;42
HB 2-14;2-14;42
HB 2-15;2-15;42
HB 3-1;3-1;42
HB 3-2;3-2;42
HB 3-3;3-3;42
HB 3-4;3-4;42
HB 3-5;3-5;42
HB 3-6;3-6;42
HB 3-7;3-7;42
HB 3-8;3-8;42
HB 3-9;3-9;42
HB 3-10;3-10;42
HB 3-11;3-11;42
HB 3-12;3-12;42
HB 3-13;3-13;42
HB 3-14;3-14;42
HB 3-15;3-15;42
HB 3-16;3-16;42
HB 3-17;3-17;42
HB 3-18;3-18;42
HB 3-19;3-19;42
HB 3-20;3-20;42
HB 3-21;3-21;42
HB 3-22;3-22;42
HB 3-23;3-23;42
HB 3-24;3-24;42
HB 4-1;4-1;42
HB 4-2;4-2;42
HB 4-3;4-3;42
HB 4-5;4-5;42
HB 4-6;4-6;42
HB 4-7;4-7;42
HB 4-8;4-8;42
HB 4-9;4-9;42
HB 4-10;4-10;42
HB 4-11;4-11;42
HB 4-12;4-12;42
HB 4-13;4-13;42
HB 4-14;4-14;42
HB 4-15;4-15;42
HB 4-16;4-16;42
HB 4-17;4-17;42
HB 4-18;4-18;42
HB 4-19;4-19;42
HB 4-20;4-20;42
HB 4-21;4-21;42
Drama 1-1;1-1;45
Drama1-2;1-2;45
Drama 1-3;1-3;45
Drama 1-4;1-4;45
Drama 1-5;1-5;45
Drama 1-6;1-6;45
Drama 1-8;1-8;45
Drama 1-9;1-9;45
Drama 1-10;1-10;45
Drama 1-11;1-11;45
Drama 1-15;1-15;45
Drama 1-17;1-17;45
Drama 1-18;1-18;45
Drama 1-19;1-19;45
Drama 1-20;1-20;45
Purple Lab;2-48;46
Green Lab;2-46;46
Red Lab;2-48;46
Blue 1 Lab;2-51;46
Blue 2 Lab;2-52;46
Blue 3 Lab;2-53;46
Yellow Lab;2-60;46
CBT Lab 1;2-65;46
CBT Lab 2;2-66;46
CBT Lab 3;2-67;46
Orange Lab;2-56;46
Maroon Lab;3-61.1;46
Grey Lab;3-61.5;46
Brown Lab;3-61.8;46
SIT Lab;4-50;46
VRI Lab;4-62;46
Kopper Lab;2-73;46
Bronze Lab;2-74;46
Silver Lab;2-75;46
Gold Lab;2-76;46
Platinum Lab;2-83;46
CIRG Lab;5-49;46
IT 2-23;2-23;46
IT 2-24;2-24;46
IT 2-25;2-25;46
IT 2-26;2-26;46
IT 2-27;2-27;46
IT 4-1;4-1;46
IT 4-2;4-2;46
IT 4-3;4-3;46
IT 4-4;4-4;46
IT 4-5;4-5;46
IT Tutor Room ;5-91;46
Sanlam Auditorium;1-23;47
EMS 2-78;2-78;50
EMS 2-81;2-81;50
EMS 2-84;2-84;50
EMS 2-88;2-88;50
EMS 2-89;2-89;50
EMS 2-91;2-91;50
EMS 2-150;2-150;50
EMS 2-151;2-151;50
EMS 2-152;2-152;50
EMS 4-150;4-150;50
EMS 4-151;4-151;50
